SPECIES,STRAIN,SEX,CLCAT,CLTEST,CLTESTCD,CLSTRESC,CLFREQ,N
DOG,BEAGLE,F,CLINICAL SIGNS,ADDITIONAL CLINICAL SIGNS,ACS,SALIVATION,1,1
DOG,BEAGLE,F,CLINICAL SIGNS,ANOGENITAL,ANOGENIT,ESTRUS,1,34
DOG,BEAGLE,F,CLINICAL SIGNS,BEHAVIOR,BHVR,SALIVATION,0.958333333,48
DOG,BEAGLE,F,CLINICAL SIGNS,BEHAVIOR,BHVR,EXCESSIVE SALIVATION,0.020833333,48
DOG,BEAGLE,F,CLINICAL SIGNS,BEHAVIOR,BHVR,ABUNREMARKABLE VOCALIZATION,0.020833333,48
DOG,BEAGLE,F,CLINICAL SIGNS,CAGE SIDE OBSERVATION,CSO,UNREMARKABLE,0.945191313,967
DOG,BEAGLE,F,CLINICAL SIGNS,CAGE SIDE OBSERVATION,CSO,VOMITUS,0.041365047,967
DOG,BEAGLE,F,CLINICAL SIGNS,CAGE SIDE OBSERVATION,CSO,FECES CONSISTENCY ALTERED,0.01344364,967
DOG,BEAGLE,F,CLINICAL SIGNS,CAGE SIDE OBSERVATIONS,CSO,UNREMARKABLE,0.895932382,1893
DOG,BEAGLE,F,CLINICAL SIGNS,CAGE SIDE OBSERVATIONS,CSO,FECES LOOSE W/OUT UNREMARKABLE FECES,0.089276281,1893
DOG,BEAGLE,F,CLINICAL SIGNS,CAGE SIDE OBSERVATIONS,CSO,ANIMAL IN ESTRUS (SWELLING + MAT. LIQ. RED VULVA),0.003697834,1893
DOG,BEAGLE,F,CLINICAL SIGNS,CAGE SIDE OBSERVATIONS,CSO,FECES LIQUID W/OUT UNREMARKABLE FECES,0.003697834,1893
DOG,BEAGLE,F,CLINICAL SIGNS,CAGE SIDE OBSERVATIONS,CSO,MATERIAL LIQUID,0.003169572,1893
DOG,BEAGLE,F,CLINICAL SIGNS,CAGE SIDE OBSERVATIONS,CSO,UNDIGESTED FOOD,0.002113048,1893
DOG,BEAGLE,F,CLINICAL SIGNS,CAGE SIDE OBSERVATIONS,CSO,MATERIAL MUCOID,0.001056524,1893
DOG,BEAGLE,F,CLINICAL SIGNS,CAGE SIDE OBSERVATIONS,CSO,MATERIAL DRY,0.000528262,1893
DOG,BEAGLE,F,CLINICAL SIGNS,CAGE SIDE OBSERVATIONS,CSO,MATERIAL FROTHY,0.000528262,1893
DOG,BEAGLE,F,CLINICAL SIGNS,CAGE-SIDE OBSERVATION,CSO,UNREMARKABLE,1,252
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE CLINICAL OBSERVATION,GNOB,UNREMARKABLE,0.771666667,1800
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE CLINICAL OBSERVATION,GNOB,FECES SOFT,0.081666667,1800
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE CLINICAL OBSERVATION,GNOB,LACRIMATION,0.056666667,1800
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE CLINICAL OBSERVATION,GNOB,THIN,0.049444444,1800
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE CLINICAL OBSERVATION,GNOB,FECES WATERY,0.007777778,1800
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE CLINICAL OBSERVATION,GNOB,SKIN DRY,0.006666667,1800
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE CLINICAL OBSERVATION,GNOB,SCABBED AREA,0.005,1800
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE CLINICAL OBSERVATION,GNOB,FECES MUCOID,0.003888889,1800
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE CLINICAL OBSERVATION,GNOB,MATERIAL IN PAN/BEDDING,0.003333333,1800
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE CLINICAL OBSERVATION,GNOB,SALIVATION,0.003333333,1800
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE CLINICAL OBSERVATION,GNOB,INAPPETENCE,0.002222222,1800
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE CLINICAL OBSERVATION,GNOB,VULVA ENLARGED,0.002222222,1800
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE CLINICAL OBSERVATION,GNOB,VOMITUS,0.002222222,1800
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE CLINICAL OBSERVATION,GNOB,DISCHARGE,0.001666667,1800
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE CLINICAL OBSERVATION,GNOB,TREMBLING,0.001111111,1800
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE CLINICAL OBSERVATION,GNOB,SKIN WARM TO TOUCH,0.000555556,1800
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE CLINICAL OBSERVATION,GNOB,FECES FEW/ABSENT,0.000555556,1800
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE OBSERVATION,CO,UNREMARKABLE,0.987538941,2247
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE OBSERVATION,CO,SOFT STOOL,0.005785492,2247
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE OBSERVATION,CO,LOOSE FECES,0.004450378,2247
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE OBSERVATION,CO,EMESIS,0.001335113,2247
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE OBSERVATION,CO,FECES WITH ABUNREMARKABLE CONTENTS,0.000445038,2247
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE OBSERVATION,CO,REDUCED FOOD INTAKE,0.000445038,2247
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE OBSERVATIONS,CO,UNREMARKABLE,0.933807829,1405
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE OBSERVATIONS,CO,IN SEASON DISCHARGE,0.035587189,1405
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE OBSERVATIONS,CO,FECES CONSISTENCY ALTERED,0.022775801,1405
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE OBSERVATIONS,CO,VOMITUS,0.003558719,1405
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE OBSERVATIONS,CO,LAME,0.002846975,1405
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE OBSERVATIONS,CO,VOMITING,0.001423488,1405
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE OBSERVATIONS,CSO,UNREMARKABLE,0.927272727,55
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE OBSERVATIONS,CSO,VOMITUS,0.036363636,55
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE OBSERVATIONS,CSO,SALIVATION INCREASED,0.018181818,55
DOG,BEAGLE,F,CLINICAL SIGNS,CAGESIDE OBSERVATIONS,CSO,FECES CONSISTENCY ALTERED,0.018181818,55
DOG,BEAGLE,F,CLINICAL SIGNS,CLIN OBS,COBS,UNREMARKABLE,0.881565396,3884
DOG,BEAGLE,F,CLINICAL SIGNS,CLIN OBS,COBS,FECES SOFT,0.041709578,3884
DOG,BEAGLE,F,CLINICAL SIGNS,CLIN OBS,COBS,"GI,   FECES SOFT",0.033470649,3884
DOG,BEAGLE,F,CLINICAL SIGNS,CLIN OBS,COBS,"GI,   SALIVATION",0.008238929,3884
DOG,BEAGLE,F,CLINICAL SIGNS,CLIN OBS,COBS,FECES LIQUID,0.007209063,3884
DOG,BEAGLE,F,CLINICAL SIGNS,CLIN OBS,COBS,"SKIN, SCAB",0.005664264,3884
DOG,BEAGLE,F,CLINICAL SIGNS,CLIN OBS,COBS,FECES MUCOID,0.004634398,3884
DOG,BEAGLE,F,CLINICAL SIGNS,CLIN OBS,COBS,"GI,   FECES LIQUID",0.004634398,3884
DOG,BEAGLE,F,CLINICAL SIGNS,CLIN OBS,COBS,EMESIS,0.002574665,3884
DOG,BEAGLE,F,CLINICAL SIGNS,CLIN OBS,COBS,"GI,   FECES QTY REDUCED",0.002574665,3884
DOG,BEAGLE,F,CLINICAL SIGNS,CLIN OBS,COBS,FECES QUANTITY REDUCED,0.002059732,3884
DOG,BEAGLE,F,CLINICAL SIGNS,CLIN OBS,COBS,"GI,   FECES MUCOID",0.001802266,3884
DOG,BEAGLE,F,CLINICAL SIGNS,CLIN OBS,COBS,SALIVATION,0.001287333,3884
DOG,BEAGLE,F,CLINICAL SIGNS,CLIN OBS,COBS,FECES QTY REDUCED,0.0007724,3884
DOG,BEAGLE,F,CLINICAL SIGNS,CLIN OBS,COBS,"GI,   EMESIS-CONTAINS FOOD",0.000514933,3884
DOG,BEAGLE,F,CLINICAL SIGNS,CLIN OBS,COBS,EMESIS-CONTAINS FOOD,0.000514933,3884
DOG,BEAGLE,F,CLINICAL SIGNS,CLIN OBS,COBS,"GI,   EMESIS-FOAMY",0.000257467,3884
DOG,BEAGLE,F,CLINICAL SIGNS,CLIN OBS,COBS,FECES DISCOLORED,0.000257467,3884
DOG,BEAGLE,F,CLINICAL SIGNS,CLIN OBS,COBS,"SKIN, SORE",0.000257467,3884
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBS,CLOB,UNREMARKABLE,0.904347826,345
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBS,CLOB,NAIL - TORN,0.063768116,345
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBS,CLOB,GI - REDUCED APPETITE,0.014492754,345
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBS,CLOB,TREATMENT - PRESCRIBED(VETERINARY),0.014492754,345
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBS,CLOB,NAIL - BROKEN,0.002898551,345
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,UNREMARKABLE,0.88021978,910
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,ALOPECIA,0.073626374,910
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,SIGNS OF ESTRUS,0.035164835,910
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,"FECES, DISCOLORED",0.005494505,910
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,PROSTRATION,0.002197802,910
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,LIMPING,0.002197802,910
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,FEARFUL,0.001098901,910
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,UNREMARKABLE,0.743905916,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,EYES:TEARS,0.031789024,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,APPEARANCE:SWOLLEN,0.028581611,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,EYES:DISCHARGE,0.019743407,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,"EXCRETION:FECES, NONFORMED",0.019244476,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,DISCHARGE:APPEARS TO BE CYCLING,0.018246614,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,SKIN AND PELAGE:RAISED AREA,0.013399857,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,SKIN AND PELAGE:SCAB,0.00976479,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,DISCHARGE:VOMITUS,0.009123307,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,APPEARANCE:THIN,0.009052031,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,BEHAVIOR:STRUGGLED DURING IOP TRAINING,0.006486101,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,SKIN AND PELAGE:DISCOLORED SKIN,0.006414825,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,EXCRETION:DISCHARGE,0.006272274,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,"EXCRETION:FECES, LIQUID",0.006200998,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,SKIN AND PELAGE:BROKEN SKIN,0.005844619,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,"EYES:CONJUNCTIVA, PALPEBRAL",0.005060584,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,BEHAVIOR:VOCALIZED DURING IOP TRAINING,0.004846757,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,SKIN AND FUR:SORES/LESIONS,0.003920171,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,EYES:DILATED PUPIL,0.003777619,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,SKIN AND PELAGE:SORE,0.003777619,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,APPEARANCE:EFFECT OF ANESTHESIA,0.002851033,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,BEHAVIOR:STRUGGLED DURING DOSING,0.002779758,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,EXCRETION:SALIVATION,0.002708482,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,EYES:VISIBLE NICTITATING MEMBRANE,0.002280827,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,DISCHARGE:EXCESSIVE SALIVATION,0.002066999,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,EYES:SWOLLEN CONJUNCTIVA,0.001924448,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,SKIN AND PELAGE:SCAR,0.00171062,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,DISCHARGE:SWEAT-LIKE,0.001568068,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,"EXCRETION:FECES, MUCOID",0.001496793,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,"EXCRETION:FECES, NONE",0.001354241,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,TISSUE MASS:SMALL,0.001282965,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,DISCHARGE - UNKNOWN SOURCE:FOUND IN PAN,0.001282965,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,BEHAVIOR:VOCALIZATION DURING DOSING,0.001211689,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,"BEHAVIOR:SNAPPING/BITING, AT THE DOSE SITE",0.001211689,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,"EXCRETION:FECES, DISCOLORED",0.001140413,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,INJECTION/DERMAL SITE:SUBCUTANEOUS,0.001069138,14030
