MATEST,MATESTCD,SPECIES,STRAIN,SEX,MASPEC,MASTRESC,MAFREQ,N
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"ADIPOSE TISSUE, BROWN",UNREMARKABLE,1,5
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"ADIPOSE TISSUE, WHITE",UNREMARKABLE,1,5
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,ALL TISSUES,UNREMARKABLE,0.925925926,54
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,ALL TISSUES,NO NECROPSY OBSERVATIONS NOTED,0.074074074,54
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"ARTERY, AORTA",UNREMARKABLE,0.981269511,961
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"ARTERY, AORTA",EXAMINED/NO REMARKABLE FINDINGS,0.018730489,961
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"BODY CAVITY, ABDOMINAL",UNREMARKABLE,0.923076923,13
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"BODY CAVITY, ABDOMINAL",ADHESION,0.076923077,13
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"BODY CAVITY, NASAL",UNREMARKABLE,1,134
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"BODY CAVITY, ORAL",UNREMARKABLE,1,15
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"BODY CAVITY, THORACIC",UNREMARKABLE,0.923076923,13
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"BODY CAVITY, THORACIC",ADHESION,0.076923077,13
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,BONE,UNREMARKABLE,1,13
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,BONE MARROW,UNREMARKABLE,0.777777778,81
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,BONE MARROW,EXAMINED/NO REMARKABLE FINDINGS,0.222222222,81
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"BONE MARROW, FEMUR",UNREMARKABLE,1,270
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"BONE MARROW, RIB",UNREMARKABLE,1,34
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"BONE MARROW, STERNUM",UNREMARKABLE,1,404
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"BONE, FEMUR",UNREMARKABLE,1,535
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"BONE, FEMUR/JOINT, FEMOROTIBIAL",UNREMARKABLE,1,24
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"BONE, MANDIBLE",UNREMARKABLE,1,3
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"BONE, RIB",UNREMARKABLE,1,29
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"BONE, STERNUM",UNREMARKABLE,0.956439394,528
