MITEST,MITESTCD,SPECIES,STRAIN,SEX,MISPEC,MISTRESC,MIRESCAT,MIFREQ,N
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"ARTERY, AORTA",UNREMARKABLE,,0.991097923,674
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"ARTERY, AORTA",MINERALIZATION,NON-NEOPLASTIC,0.007418398,674
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"ARTERY, AORTA",DEGENERATION,NON-NEOPLASTIC,0.00148368,674
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BODY CAVITY, NASAL",UNREMARKABLE,,0.768,125
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BODY CAVITY, NASAL",HYPERPLASIA,NON-NEOPLASTIC,0.072,125
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BODY CAVITY, NASAL",INFLAMMATION,NON-NEOPLASTIC,0.04,125
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BODY CAVITY, NASAL",HYPERPLASIA/METAPLASIA,NON-NEOPLASTIC,0.04,125
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BODY CAVITY, NASAL",EROSION/ULCER,NON-NEOPLASTIC,0.032,125
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BODY CAVITY, NASAL",DEGENERATION/ATROPHY,NON-NEOPLASTIC,0.024,125
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BODY CAVITY, NASAL",DEGENERATION/REGENERATION,NON-NEOPLASTIC,0.008,125
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BODY CAVITY, NASAL",EROSION,NON-NEOPLASTIC,0.008,125
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BODY CAVITY, NASAL",CYST,NON-NEOPLASTIC,0.008,125
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,BONE,UNREMARKABLE,,1,3
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,BONE MARROW,UNREMARKABLE,,1,53
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BONE MARROW, FEMUR",UNREMARKABLE,,1,343
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BONE MARROW, RIB",UNREMARKABLE,,1,54
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BONE MARROW, STERNUM",UNREMARKABLE,,0.998148148,540
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BONE MARROW, STERNUM",ATROPHY,NON-NEOPLASTIC,0.001851852,540
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BONE MARROW, TIBIA",UNREMARKABLE,,1,4
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BONE, FEMUR",UNREMARKABLE,,0.961456103,467
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BONE, FEMUR",GROWTH PLATE CLOSED,NON-NEOPLASTIC,0.023554604,467
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BONE, FEMUR",GROWTH PLATE OPEN,NON-NEOPLASTIC,0.012847966,467
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BONE, FEMUR",DEGENERATION,NON-NEOPLASTIC,0.002141328,467
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BONE, FEMUR/JOINT, FEMOROTIBIAL",UNREMARKABLE,,0.952380952,21
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BONE, FEMUR/JOINT, FEMOROTIBIAL",GROWTH PLATE CLOSED,NON-NEOPLASTIC,0.047619048,21
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BONE, RIB",UNREMARKABLE,,1,40
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BONE, STERNUM",UNREMARKABLE,,1,533
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BONE, TIBIA",UNREMARKABLE,,1,13
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BONE, VERTEBRA",UNREMARKABLE,,1,9
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,BRAIN,UNREMARKABLE,,0.963779528,635
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,BRAIN,GLIOSIS,NON-NEOPLASTIC,0.009448819,635
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,BRAIN,INFILTRATE,NON-NEOPLASTIC,0.007874016,635
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,BRAIN,DEGENERATION,NON-NEOPLASTIC,0.003149606,635
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,BRAIN,EXTRAMEDULLARY HEMATOPOIESIS,NON-NEOPLASTIC,0.003149606,635
