OMTESTCD,OMTEST,SPECIES,STRAIN,SEX,OMSTRESM,OMSTRESSD,OMSTRESU,N,OMSPEC,OMLAT
WEIGHT,Weight,Mouse,haploinsufficient C3B6.129F1-Trp53tm1Brd N12,F,0.515,0.004,g,23,BRAIN,
WEIGHT,Weight,Mouse,haploinsufficient C3B6.129F1-Trp53tm1Brd N12,F,0.164,0.004,g,23,HEART,
WEIGHT,Weight,Mouse,haploinsufficient C3B6.129F1-Trp53tm1Brd N12,F,0.463,0.008,g,23,KIDNEY,BILATERAL
WEIGHT,Weight,Mouse,haploinsufficient C3B6.129F1-Trp53tm1Brd N12,F,1.499,0.041,g,23,LIVER,
WEIGHT,Weight,Mouse,haploinsufficient C3B6.129F1-Trp53tm1Brd N12,M,0.494,0.004,g,24,BRAIN,
WEIGHT,Weight,Mouse,haploinsufficient C3B6.129F1-Trp53tm1Brd N12,M,0.227,0.007,g,24,HEART,
WEIGHT,Weight,Mouse,haploinsufficient C3B6.129F1-Trp53tm1Brd N12,M,0.714,0.012,g,24,KIDNEY,BILATERAL
WEIGHT,Weight,Mouse,haploinsufficient C3B6.129F1-Trp53tm1Brd N12,M,1.962,0.054,g,24,LIVER,
WEIGHT,Weight,RAT,SPRAGUE-DAWLEY,F,0.0275,0.0009,g,10,"GLAND, ADRENAL",RIGHT
WEIGHT,Weight,RAT,SPRAGUE-DAWLEY,F,0.0253,0.001,g,10,"GLAND, THYROID",
WEIGHT,Weight,RAT,SPRAGUE-DAWLEY,F,0.68,0.01,g,10,KIDNEY,RIGHT
WEIGHT,Weight,RAT,SPRAGUE-DAWLEY,F,0.66,0.01,g,10,KIDNEY,RIGHT
WEIGHT,Weight,RAT,SPRAGUE-DAWLEY,F,0.71,0.03,g,10,KIDNEY,RIGHT
WEIGHT,Weight,RAT,SPRAGUE-DAWLEY,F,7.63,0.28,g,10,LIVER,
WEIGHT,Weight,RAT,SPRAGUE-DAWLEY,F,7.67,0.29,g,10,LIVER,
WEIGHT,Weight,RAT,SPRAGUE-DAWLEY,F,7.77,0.34,g,10,LIVER,
WEIGHT,Weight,RAT,SPRAGUE-DAWLEY,F,0.591,0.017,g,10,SPLEEN,
